time,GHI,DNI,DHI,Temperature,Relative Humidity,Pressure,Wind Speed,Solar Zenith Angle,Cloud Type,pv
2018-07-01 06:00:00,143.0,436.0,56.0,16.2,84.87,1014.0,3.3,78.51,0.0,0.077255115
2018-07-01 06:30:00,234.0,537.0,76.0,16.9,81.27,1015.0,3.2,72.89,0.0,0.4102634
2018-07-01 07:00:00,333.0,624.0,90.0,17.6,77.79,1015.0,3.1,67.13,0.0,1.4256401
2018-07-01 07:30:00,436.0,707.0,96.0,18.4,73.98,1015.0,2.9,61.28,0.0,3.3157287
2018-07-01 08:00:00,535.0,757.0,105.0,19.2,69.1,1015.0,2.7,55.37,0.0,5.809145
2018-07-01 08:30:00,628.0,795.0,111.0,20.0,65.76,1015.0,2.7,49.42,0.0,8.263193
2018-07-01 09:00:00,716.0,826.0,117.0,20.8,60.76,1015.0,2.6,43.47,0.0,11.201641
2018-07-01 09:30:00,795.0,851.0,121.0,21.5,58.22,1015.0,2.7,37.58,0.0,13.861354
2018-07-01 10:00:00,864.0,872.0,123.0,22.2,53.61,1015.0,2.7,31.8,0.0,16.291656
2018-07-01 10:30:00,921.0,887.0,126.0,22.6,52.32,1015.0,2.8,26.26,0.0,18.311457
2018-07-01 11:00:00,964.0,897.0,128.0,23.1,48.72,1015.0,3.0,21.18,0.0,19.956566
2018-07-01 11:30:00,992.0,904.0,128.0,23.4,47.85,1015.0,3.1,17.01,0.0,21.33947
2018-07-01 12:00:00,1006.0,908.0,127.0,23.6,45.7,1015.0,3.3,14.59,0.0,22.398043
2018-07-01 12:30:00,1003.0,900.0,133.0,23.6,45.7,1015.0,3.4,14.81,0.0,22.630207
2018-07-01 13:00:00,984.0,886.0,139.0,23.6,45.21,1015.0,3.6,17.57,0.0,23.286938
2018-07-01 13:30:00,954.0,880.0,138.0,23.3,46.03,1015.0,3.6,21.92,0.0,23.139875
2018-07-01 14:00:00,910.0,871.0,135.0,23.0,47.31,1015.0,3.7,27.1,0.0,22.862787
2018-07-01 14:30:00,852.0,857.0,131.0,22.5,48.76,1015.0,3.7,32.69,0.0,22.389183
2018-07-01 15:00:00,783.0,839.0,126.0,22.1,50.41,1015.0,3.7,38.49,0.0,21.395874
2018-07-01 15:30:00,703.0,815.0,121.0,21.5,52.29,1015.0,3.7,44.4,0.0,18.099024
2018-07-01 16:00:00,615.0,785.0,114.0,21.0,54.07,1014.0,3.6,50.35,0.0,16.555172
2018-07-01 16:30:00,520.0,747.0,106.0,20.3,56.44,1014.0,3.6,56.3,0.0,14.157024
2018-07-01 17:00:00,421.0,696.0,96.0,19.6,59.14,1014.0,3.5,62.2,0.0,12.094025
2018-07-01 17:30:00,321.0,629.0,86.0,18.7,62.54,1014.0,3.4,68.04,0.0,9.507762
2018-07-01 18:00:00,222.0,538.0,72.0,17.8,66.62,1014.0,3.3,73.78,0.0,6.6289487
2018-07-01 18:30:00,130.0,406.0,55.0,16.8,70.95,1014.0,3.2,79.39,0.0,4.2475443
2018-07-02 06:30:00,186.0,299.0,98.0,16.4,83.22,1014.0,2.3,72.96,0.0,0.2220676
2018-07-02 07:00:00,162.0,5.0,160.0,17.1,80.22,1014.0,2.2,67.21,3.0,1.1861302
2018-07-02 07:30:00,199.0,5.0,197.0,17.8,76.76,1014.0,2.1,61.36,3.0,2.1106637
2018-07-02 08:00:00,278.0,20.0,267.0,18.5,71.35,1014.0,2.0,55.44,3.0,2.5012662
2018-07-02 08:30:00,488.0,279.0,307.0,19.2,68.31,1014.0,2.0,49.49,3.0,4.4853363
2018-07-02 09:00:00,674.0,650.0,203.0,20.0,62.13,1014.0,2.0,43.55,0.0,5.0528073
2018-07-02 09:30:00,746.0,671.0,215.0,20.6,59.88,1014.0,2.0,37.65,0.0,6.512441
2018-07-02 10:00:00,789.0,615.0,267.0,21.2,53.04,1014.0,2.1,31.88,0.0,13.141225
2018-07-02 10:30:00,844.0,635.0,275.0,21.6,51.76,1014.0,2.2,26.34,0.0,13.611434
2018-07-02 11:00:00,887.0,649.0,282.0,22.0,46.33,1014.0,2.3,21.26,0.0,16.78804
2018-07-02 11:30:00,917.0,660.0,286.0,22.2,45.77,1014.0,2.5,17.1,0.0,18.964346
2018-07-02 12:00:00,931.0,665.0,288.0,22.3,42.35,1013.0,2.7,14.67,0.0,18.433435
2018-07-02 12:30:00,931.0,668.0,285.0,22.3,42.35,1013.0,2.9,14.87,0.0,18.340807
2018-07-02 13:00:00,916.0,666.0,281.0,22.2,41.67,1013.0,3.1,17.61,0.0,21.521679
2018-07-02 13:30:00,885.0,656.0,277.0,22.0,42.18,1013.0,3.3,21.95,0.0,21.148651
2018-07-02 14:00:00,841.0,644.0,268.0,21.7,44.17,1013.0,3.5,27.11,0.0,20.75865
2018-07-02 14:30:00,785.0,628.0,256.0,21.2,45.5,1012.0,3.6,32.69,0.0,20.268518
2018-07-02 15:00:00,719.0,607.0,244.0,20.7,47.93,1012.0,3.7,38.49,0.0,20.138292
